no,alamat,km_awal,m_awal,km_akhir,m_akhir,lat,long,posisi,panjang,lebar,tinggi,jenis_kerusakan,tingkat_kerusakan,tanggal,,
1,Cerenti (Batas Inhu) - Air Molek,0,0,0,5,-0.504487448117434,101.911972941917,Seluruh Jalan,5,5.5,0.25,Lubang (Potholes), sedang,2024-08-12,,
2,Cerenti (Batas Inhu) - Air Molek,0,40,0,46,-0.504664316859797,101.912316840034,Kiri Jalan,6,2.5,0.25,Lubang (Potholes), sedang,2024-08-12,,
3,Cerenti (Batas Inhu) - Air Molek,0,100,0,106,-0.505013729165984,101.912742084725,Seluruh Jalan,6,3.1,0.25,Lubang (Potholes), sedang,2024-08-12,,
4,Cerenti (Batas Inhu) - Air Molek,0,120,0,139,-0.505159041992557,101.912823426188,Kanan Jalan,19,5.5,0.24,Lubang (Potholes), sedang,2024-08-12,,
5,Cerenti (Batas Inhu) - Air Molek,0,150,0,166,-0.505263692595975,101.913050177977,Seluruh Jalan,16,5.5,0.25,Lubang (Potholes), sedang,2024-08-12,,
6,Cerenti (Batas Inhu) - Air Molek,0,180,0,187,-0.505432296342365,101.913306000509,Kiri Jalan,7,2,0.25,Lubang (Potholes), ringan,2024-08-19,,
7,Cerenti (Batas Inhu) - Air Molek,0,200,0,210,-0.505589272240247,101.913416469329,Seluruh Jalan,10,2,0.3,Alur (Rutting), ringan,2024-08-29,,
8,Cerenti (Batas Inhu) - Air Molek,41,600,41,605,-0.403344590394449,102.195455036533,Kiri Jalan,5,2.3,0.06,Retak Buaya, sedang,2024-08-29,,
9,Cerenti (Batas Inhu) - Air Molek,45,650,45,655,-0.387362389169085,102.220721849826,Seluruh Jalan,5,2,0.02,Retak Memanjang, berat,2024-08-26,,
10,Cerenti (Batas Inhu) - Air Molek,44,285,44,294,-0.396646712910958,102.216457898853,Kiri Jalan,9,3.8,0.25,Lubang (Potholes), ringan,2024-08-29,,
11,Cerenti (Batas Inhu) - Air Molek,45,180,45,182,-0.392500825529125,102.220710725984,Kiri Jalan,2,1.1,0.2,Lubang (Potholes), ringan,2024-08-26,,
12,Cerenti (Batas Inhu) - Air Molek,45,220,45,224,-0.391615945368761,102.220729688146,Kiri Jalan,4,1.2,0.2,Lubang (Potholes), ringan,2024-08-26,,
13,Cerenti (Batas Inhu) - Air Molek,45,490,45,493,-0.389125639217118,102.22068544311,Kiri Jalan,3,1.15,0.2,Lubang (Potholes), ringan,2024-08-26,,
14,Cerenti (Batas Inhu) - Air Molek,45,657,45,660,-0.38746964846255,102.220647518787,Kiri Jalan,3,2.4,0.2,Lubang (Potholes), ringan,2024-08-26,,
15,Cerenti (Batas Inhu) - Air Molek,46,288,46,293,-0.383528474977377,102.222273104877,Kiri Jalan,5,1.5,2,Lubang (Potholes), ringan,2024-08-26,,
16,Cerenti (Batas Inhu) - Air Molek,47,460,47,463,-0.383465372744813,102.233519676201,Kiri Jalan,3,1.5,0.2,Lubang (Potholes), ringan,2024-08-26,,
17,Cerenti (Batas Inhu) - Air Molek,47,555,47,557,-0.383455523201956,102.234174685471,Kiri Jalan,2,1.1,0.2,Lubang (Potholes), ringan,2024-08-26,,
18,Cerenti (Batas Inhu) - Air Molek,48,130,48,132,-0.383379706402738,102.239341426977,Kiri Jalan,2,1.1,0.2,Lubang (Potholes), ringan,2024-08-26,,
19,Cerenti (Batas Inhu) - Air Molek,48,290,48,294,-0.383360007310891,102.240882915013,Kiri Jalan,4,1.8,0.2,Lubang (Potholes), ringan,2024-08-26,,
20,Batu Gajah - Sei Karas,5,421,5,425,-0.334489301953471,102.296471854704,Kiri Jalan,4,2,0.25,Alur (Rutting), ringan,2024-09-03,,
21,Cerenti (Batas Inhu) - Air Molek,26,550,26,555.7,-0.451510262387047,102.109273372063,Seluruh Jalan,5.7,5,0.4,Lubang (Potholes), berat,2025-03-18,,
22,Cerenti (Batas Inhu) - Air Molek,26,700,26,709.7,-0.452186786372237,102.110951775776,Seluruh Jalan,9.7,5,0.3,Lubang (Potholes), berat,2025-03-08,,
23,Cerenti (Batas Inhu) - Air Molek,27,200,27,203.1,-0.455754347748288,102.113573325819,Seluruh Jalan,3.1,3.2,0.2,Lubang (Potholes), berat,2025-03-08,,
24,Cerenti (Batas Inhu) - Air Molek,27,950,28,22,-0.457541579760991,102.117358837516,Kiri Jalan,72,3.5,0.27,Lubang (Potholes), berat,2025-01-14,,
25,Cerenti (Batas Inhu) - Air Molek,27,950,27,976.5,-0.457200626979214,102.117758014468,Kanan Jalan,26.5,3.3,0.15,Lubang (Potholes), berat,2025-01-14,,
26,Cerenti (Batas Inhu) - Air Molek,29,400,29,407,-0.463221351876721,102.126648017955,Seluruh Jalan,7,5,0.26,Lubang (Potholes), sedang,2025-03-25,,
27,Cerenti (Batas Inhu) - Air Molek,32,230,32,234,-0.458319683650869,102.148777937361,Seluruh Jalan,4,5,0.38,Lubang (Potholes), berat,2025-03-18,,
28,Cerenti (Batas Inhu) - Air Molek,34,426,34,455.4,-0.451234489606551,102.164993142327,Kiri Jalan,29.4,4.2,0.31,Lubang (Potholes), berat,2025-03-18,,
29,Cerenti (Batas Inhu) - Air Molek,34,670,34,676.5,-0.450849752131142,102.167455538462,Kiri Jalan,6.5,4.3,0.36,Lubang (Potholes), sedang,2025-04-21,,
30,Cerenti (Batas Inhu) - Air Molek,35,100,34,103.9,-0.44905858518392,102.170648958432,Kiri Jalan,3.9,2.7,0.3,Lubang (Potholes), sedang,2024-03-09,,
31,Cerenti (Batas Inhu) - Air Molek,35,350,35,358.3,-0.447940496898675,102.172554999361,Seluruh Jalan,8.3,9.5,1.2,Lubang (Potholes), berat,2024-03-21,,
32,Cerenti (Batas Inhu) - Air Molek,35,665,35,673.3,-0.445505237996883,102.174237909346,Kiri Jalan,8.3,3.7,1.1,Lubang (Potholes), berat,2024-03-25,,
33,Cerenti (Batas Inhu) - Air Molek,35,700,35,707.9,-0.445342281706767,102.174590991978,Seluruh Jalan,7.9,5,0.9,Lubang (Potholes), berat,2024-03-21,,
34,Cerenti (Batas Inhu) - Air Molek,35,707,35,707.9,-0.445443225350638,102.174380988485,Kiri Jalan,2.9,3.9,0.6,,,,,
35,Cerenti (Batas Inhu) - Air Molek,36,210,36,214.1,-0.443020154181834,102.178230459107,Kanan Jalan,4.1,2.5,0.15,Lubang (Potholes), sedang,2024-03-25,,
36,Cerenti (Batas Inhu) - Air Molek,36,395,36,398.8,-0.442665161460796,102.179837099307,Kiri Jalan,3.8,2.7,0.2,Lubang (Potholes), sedang,2024-03-25,,
37,Cerenti (Batas Inhu) - Air Molek,36,400,36,403.1,-0.442662479331882,102.179858556979,Kiri Jalan,3.1,4.2,0.45,,,,,
38,Cerenti (Batas Inhu) - Air Molek,36,450,36,453.1,-0.442565922696266,102.180212608568,Kiri Jalan,3.1,2.6,0.2,Lubang (Potholes), sedang,2024-03-25,,
39,Cerenti (Batas Inhu) - Air Molek,36,590,36,592,-0.442380855792669,102.181518844352,Kanan Jalan,2,3.1,0.27,,,,,
40,Cerenti (Batas Inhu) - Air Molek,36,600,36,603.1,-0.442276252760362,102.18162613271,Kiri Jalan,3.1,3.2,0.25,,,,,
41,Cerenti (Batas Inhu) - Air Molek,36,650,36,654.9,-0.442160921210211,102.182001641966,Kiri Jalan,4.9,4.2,0.6,Lubang (Potholes), sedang,2025-03-09,,
42,,,,,,,,,,,,,,,,
43,,,,,,,,,,,,,,,,
44,,,,,,,,,,,,,,,,
45,,,,,,,,,,,,,,,,
46,,,,,,,,,,,,,,,,
47,,,,,,,,,,,,,,,,
48,,,,,,,,,,,,,,,,
49,,,,,,,,,,,,,,,,
50,,,,,,,,,,,,,,,,
51,,,,,,,,,,,,,,,,
52,,,,,,,,,,,,,,,,
53,,,,,,,,,,,,,,,,
